well,DEPTH,final_code,final_lithology,final_label_source,feature_1,feature_2,feature_interaction
SYN_01,1000.0,4,silty mudstone,human,0.11725642145400907,1.2148750035192937,0.059870243338298074
SYN_01,1001.0,3,mudstone,human,1.6991996671849305,-0.47415849061925863,-0.733717155810314
SYN_01,1002.0,0,fine sandstone,human,-0.09425621852689048,0.12093707970676265,0.24454670802774017
SYN_01,1003.0,3,mudstone,human,2.6378247764279696,0.03807511415465903,0.18314613263800766
SYN_01,1004.0,0,fine sandstone,human,-1.6602767722086256,1.0261113679347043,-1.7478980847915588
SYN_01,1005.0,3,mudstone,human,0.892917368596612,-0.9163480346702768,-0.7898400801873574
SYN_01,1006.0,0,fine sandstone,human,-0.5867319535250827,0.2510765250913461,-0.24585500341416378
SYN_01,1007.0,0,fine sandstone,human,-1.8468008004811605,0.04472989041565334,-0.22571749580469874
SYN_01,1008.0,0,fine sandstone,human,-1.7972884382355705,1.1755013622818211,-2.1720462043831796
SYN_01,1009.0,0,fine sandstone,human,-1.1537654851814385,-0.07957842901996404,0.10877990275823987
SYN_01,1010.0,0,fine sandstone,human,-2.2526044937102014,0.1794906052847522,-0.1788674513303708
SYN_01,1011.0,0,fine sandstone,human,-1.6158080270561812,1.0888567467202825,-1.7138780591527913
SYN_01,1012.0,3,mudstone,human,0.8206831255074463,-1.0971848566278817,-0.7717501575554643
SYN_01,1013.0,4,silty mudstone,human,-0.09273559969053183,2.292580793160467,-0.2845117576921681
SYN_01,1014.0,4,silty mudstone,human,0.03636174604621454,1.7616181174198242,0.10137152791884854
SYN_01,1015.0,0,fine sandstone,human,-1.973765528535823,0.19683718780310389,-0.4081084773563122
SYN_01,1016.0,3,mudstone,human,0.43529068285271777,-0.4324688915353866,-0.12944776097311655
SYN_01,1017.0,3,mudstone,human,-0.17157114681699037,-1.6737584816120759,0.1590123345028687
SYN_01,1018.0,0,fine sandstone,human,-1.2306819554384267,1.5454548190439956,-1.940199003789596
SYN_01,1019.0,0,fine sandstone,human,-1.1573168945833123,-0.0026872984352179774,-0.1015735657125027
SYN_01,1020.0,3,mudstone,human,-0.17164999509813061,-0.785303569837543,0.22951902219542508
SYN_01,1021.0,3,mudstone,human,0.7086324267450352,-0.07290490265228533,-0.03187729281074236
SYN_01,1022.0,3,mudstone,human,0.884798434821282,-0.5125044996286461,-0.4047254221320652
SYN_01,1023.0,3,mudstone,human,1.5361188067823555,-1.1721085781954423,-2.029302946440645
